Pathway Report generated on: Sat Oct 12 16:59:24 2019
Total number of pathways was: 439 

Identifier	Description	Link	Frequency	Proteins
R-HSA-2022854	Keratan sulfate biosynthesis 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2022854", "R-HSA-2022854")	3	LUM_HUMAN; MIME_HUMAN; B4GA1_HUMAN
R-HSA-2559580	Oxidative Stress Induced Senescence 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2559580", "R-HSA-2559580")	3	H2B2E_HUMAN; THIO_HUMAN; H33_HUMAN
R-HSA-5689880	Ub-specific processing proteases 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5689880", "R-HSA-5689880")	3	H2B2E_HUMAN; PSA2_HUMAN; PSMA8_HUMAN
R-HSA-5683826	Surfactant metabolism 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5683826", "R-HSA-5683826")	3	PSPB_HUMAN; DMBT1_HUMAN; PEPA5_HUMAN
R-HSA-1257604	PIP3 activates AKT signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1257604", "R-HSA-1257604")	3	CD86_HUMAN; IL1AP_HUMAN; EGFR_HUMAN
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6811558", "R-HSA-6811558")	3	CD86_HUMAN; IL1AP_HUMAN; EGFR_HUMAN
R-HSA-9020702	Interleukin-1 signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-9020702", "R-HSA-9020702")	3	IL1AP_HUMAN; PSA2_HUMAN; PSMA8_HUMAN
R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6811434", "R-HSA-6811434")	3	ARF3_HUMAN; TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-1169091	Activation of NF-kappaB in B cells 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1169091", "R-HSA-1169091")	3	PSA2_HUMAN; PSMA8_HUMAN; CAR11_HUMAN
R-HSA-202424	Downstream TCR signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-202424", "R-HSA-202424")	3	PSA2_HUMAN; PSMA8_HUMAN; CAR11_HUMAN
R-HSA-2871837	FCERI mediated NF-kB activation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2871837", "R-HSA-2871837")	3	PSA2_HUMAN; PSMA8_HUMAN; CAR11_HUMAN
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-450408", "R-HSA-450408")	3	PSA2_HUMAN; PSMA8_HUMAN; HSP7C_HUMAN
R-HSA-5607764	CLEC7A (Dectin-1) signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5607764", "R-HSA-5607764")	3	PSA2_HUMAN; PSMA8_HUMAN; CAR11_HUMAN
R-HSA-2500257	Resolution of Sister Chromatid Cohesion 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2500257", "R-HSA-2500257")	3	SKA1_HUMAN; TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-68877	Mitotic Prometaphase 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-68877", "R-HSA-68877")	3	SKA1_HUMAN; TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3371497", "R-HSA-3371497")	3	TBA1B_HUMAN; TBB4B_HUMAN; HSP7C_HUMAN
R-HSA-9615710	Microautophagy 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-9615710", "R-HSA-9615710")	2	HBB_HUMAN; HSP7C_HUMAN
R-HSA-8963889	Assembly of active LPL and LIPC lipase complexes 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8963889", "R-HSA-8963889")	2	APOC2_HUMAN; APOA4_HUMAN
R-HSA-1592389	Activation of Matrix Metalloproteinases 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1592389", "R-HSA-1592389")	2	PLMN_HUMAN; ELNE_HUMAN
R-HSA-75205	Dissolution of Fibrin Clot 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-75205", "R-HSA-75205")	2	PLMN_HUMAN; A2AP_HUMAN
R-HSA-8964026	Chylomicron clearance 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8964026", "R-HSA-8964026")	2	APOB_HUMAN; APOE_HUMAN
R-HSA-8964041	LDL remodeling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8964041", "R-HSA-8964041")	2	APOB_HUMAN; APOF_HUMAN
R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2029482", "R-HSA-2029482")	2	ACTB_HUMAN; COF1_HUMAN
R-HSA-3214847	HATs acetylate histones 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3214847", "R-HSA-3214847")	2	ACTB_HUMAN; H2B2E_HUMAN
R-HSA-389957	Prefoldin mediated transfer of substrate to CCT/TriC 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-389957", "R-HSA-389957")	2	ACTB_HUMAN; TBB4B_HUMAN
R-HSA-3928662	EPHB-mediated forward signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3928662", "R-HSA-3928662")	2	ACTB_HUMAN; COF1_HUMAN
R-HSA-3928665	EPH-ephrin mediated repulsion of cells 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3928665", "R-HSA-3928665")	2	ACTB_HUMAN; EPHA3_HUMAN
R-HSA-5696394	DNA Damage Recognition in GG-NER 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5696394", "R-HSA-5696394")	2	ACTB_HUMAN; RD23A_HUMAN
R-HSA-2022377	Metabolism of Angiotensinogen to Angiotensins 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2022377", "R-HSA-2022377")	2	ANGT_HUMAN; CBPB2_HUMAN
R-HSA-3000171	Non-integrin membrane-ECM interactions 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3000171", "R-HSA-3000171")	2	FINC_HUMAN; LAMB1_HUMAN
R-HSA-8874081	MET activates PTK2 signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8874081", "R-HSA-8874081")	2	FINC_HUMAN; LAMB1_HUMAN
R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8862803", "R-HSA-8862803")	2	PRDX1_HUMAN; PRDX2_HUMAN
R-HSA-392517	Rap1 signalling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-392517", "R-HSA-392517")	2	RAP1B_HUMAN; 1433Z_HUMAN
R-HSA-2022857	Keratan sulfate degradation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2022857", "R-HSA-2022857")	2	LUM_HUMAN; MIME_HUMAN
R-HSA-3656225	Defective CHST6 causes MCDC1 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3656225", "R-HSA-3656225")	2	LUM_HUMAN; MIME_HUMAN
R-HSA-3656243	Defective ST3GAL3 causes MCT12 and EIEE15 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3656243", "R-HSA-3656243")	2	LUM_HUMAN; MIME_HUMAN
R-HSA-3656244	Defective B4GALT1 causes B4GALT1-CDG (CDG-2d) 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3656244", "R-HSA-3656244")	2	LUM_HUMAN; MIME_HUMAN
R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-166016", "R-HSA-166016")	2	CD14_HUMAN; LBP_HUMAN
R-HSA-166020	Transfer of LPS from LBP carrier to CD14 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-166020", "R-HSA-166020")	2	CD14_HUMAN; LBP_HUMAN
R-HSA-210991	Basigin interactions 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-210991", "R-HSA-210991")	2	PPIA_HUMAN; 4F2_HUMAN
R-HSA-399954	Sema3A PAK dependent Axon repulsion 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-399954", "R-HSA-399954")	2	COF1_HUMAN; NRP1_HUMAN
R-HSA-5627117	RHO GTPases Activate ROCKs 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5627117", "R-HSA-5627117")	2	COF1_HUMAN; RHOC_HUMAN
R-HSA-5083635	Defective B3GALTL causes Peters-plus syndrome (PpS) 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5083635", "R-HSA-5083635")	2	PROP_HUMAN; TSP1_HUMAN
R-HSA-5173214	O-glycosylation of TSR domain-containing proteins 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5173214", "R-HSA-5173214")	2	PROP_HUMAN; TSP1_HUMAN
R-HSA-6799990	Metal sequestration by antimicrobial proteins 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6799990", "R-HSA-6799990")	2	S10A9_HUMAN; TRFL_HUMAN
R-HSA-444473	Formyl peptide receptors bind formyl peptides and many other ligands 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-444473", "R-HSA-444473")	2	SAA1_HUMAN; SAA1_HUMAN
R-HSA-1912408	Pre-NOTCH Transcription and Translation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1912408", "R-HSA-1912408")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-201722", "R-HSA-201722")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-212300	PRC2 methylates histones and DNA 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-212300", "R-HSA-212300")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-2299718	Condensation of Prophase Chromosomes 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2299718", "R-HSA-2299718")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP) 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2559582", "R-HSA-2559582")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-427359	SIRT1 negatively regulates rRNA expression 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-427359", "R-HSA-427359")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-427389	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-427389", "R-HSA-427389")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-427413	NoRC negatively regulates rRNA expression 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-427413", "R-HSA-427413")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-5334118	DNA methylation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5334118", "R-HSA-5334118")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-5578749	Transcriptional regulation by small RNAs 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5578749", "R-HSA-5578749")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5617472", "R-HSA-5617472")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5625886", "R-HSA-5625886")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-73728	RNA Polymerase I Promoter Opening 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-73728", "R-HSA-73728")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-73772	RNA Polymerase I Promoter Escape 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-73772", "R-HSA-73772")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-9018519	Estrogen-dependent gene expression 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-9018519", "R-HSA-9018519")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-912446	Meiotic recombination 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-912446", "R-HSA-912446")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-9616222	Transcriptional regulation of granulopoiesis 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-9616222", "R-HSA-9616222")	2	H2B2E_HUMAN; H33_HUMAN
R-HSA-390522	Striated Muscle Contraction 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-390522", "R-HSA-390522")	2	TPM4_HUMAN; TPM4_HUMAN
R-HSA-1475029	Reversible hydration of carbon dioxide 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1475029", "R-HSA-1475029")	2	CAH1_HUMAN; CAH2_HUMAN
R-HSA-166662	Lectin pathway of complement activation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-166662", "R-HSA-166662")	2	MASP1_HUMAN; MASP2_HUMAN
R-HSA-2855086	Ficolins bind to repetitive carbohydrate structures on the target cell surface 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2855086", "R-HSA-2855086")	2	MASP1_HUMAN; MASP2_HUMAN
R-HSA-380108	Chemokine receptors bind chemokines 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-380108", "R-HSA-380108")	2	PLF4_HUMAN; CXCL7_HUMAN
R-HSA-432722	Golgi Associated Vesicle Biogenesis 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-432722", "R-HSA-432722")	2	TFR1_HUMAN; HSP7C_HUMAN
R-HSA-1236977	Endosomal/Vacuolar pathway 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1236977", "R-HSA-1236977")	2	CATS_HUMAN; B2MG_HUMAN
R-HSA-877300	Interferon gamma signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-877300", "R-HSA-877300")	2	B2MG_HUMAN; ICAM1_HUMAN
R-HSA-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-983170", "R-HSA-983170")	2	B2MG_HUMAN; BIP_HUMAN
R-HSA-5625740	RHO GTPases activate PKNs 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5625740", "R-HSA-5625740")	2	1433Z_HUMAN; RHOC_HUMAN
R-HSA-9604323	Negative regulation of NOTCH4 signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-9604323", "R-HSA-9604323")	2	1433Z_HUMAN; PSA2_HUMAN
R-HSA-70268	Pyruvate metabolism 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-70268", "R-HSA-70268")	2	LDHB_HUMAN; LDHA_HUMAN
R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2219530", "R-HSA-2219530")	2	CD86_HUMAN; EGFR_HUMAN
R-HSA-6783783	Interleukin-10 signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6783783", "R-HSA-6783783")	2	CD86_HUMAN; ICAM1_HUMAN
R-HSA-373760	L1CAM interactions 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-373760", "R-HSA-373760")	2	CNTN1_HUMAN; LAMB1_HUMAN
R-HSA-416482	G alpha (12/13) signalling events 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-416482", "R-HSA-416482")	2	RHOC_HUMAN; AKP13_HUMAN
R-HSA-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1234176", "R-HSA-1234176")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes) 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1236978", "R-HSA-1236978")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-174113", "R-HSA-174113")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-174154", "R-HSA-174154")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-174178", "R-HSA-174178")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-174184", "R-HSA-174184")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-180534	Vpu mediated degradation of CD4 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-180534", "R-HSA-180534")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-180585	Vif-mediated degradation of APOBEC3G 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-180585", "R-HSA-180585")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-195253	Degradation of beta-catenin by the destruction complex 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-195253", "R-HSA-195253")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-211733", "R-HSA-211733")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-349425", "R-HSA-349425")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-350562	Regulation of ornithine decarboxylase (ODC) 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-350562", "R-HSA-350562")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-382556	ABC-family proteins mediated transport 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-382556", "R-HSA-382556")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-4608870	Asymmetric localization of PCP proteins 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-4608870", "R-HSA-4608870")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-4641257	Degradation of AXIN 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-4641257", "R-HSA-4641257")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-4641258	Degradation of DVL 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-4641258", "R-HSA-4641258")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-5358346	Hedgehog ligand biogenesis 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5358346", "R-HSA-5358346")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-5362768	Hh mutants that don't undergo autocatalytic processing are degraded by ERAD 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5362768", "R-HSA-5362768")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5607761", "R-HSA-5607761")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-5610780	Degradation of GLI1 by the proteasome 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5610780", "R-HSA-5610780")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-5610783	Degradation of GLI2 by the proteasome 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5610783", "R-HSA-5610783")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5610785", "R-HSA-5610785")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-5632684	Hedgehog 'on' state 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5632684", "R-HSA-5632684")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-5658442	Regulation of RAS by GAPs 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5658442", "R-HSA-5658442")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-5668541	TNFR2 non-canonical NF-kB pathway 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5668541", "R-HSA-5668541")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-5676590	NIK-->noncanonical NF-kB signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5676590", "R-HSA-5676590")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-5678895	Defective CFTR causes cystic fibrosis 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5678895", "R-HSA-5678895")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-5687128	MAPK6/MAPK4 signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5687128", "R-HSA-5687128")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-68827	CDT1 association with the CDC6:ORC:origin complex 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-68827", "R-HSA-68827")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-68949	Orc1 removal from chromatin 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-68949", "R-HSA-68949")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-69017", "R-HSA-69017")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-69481	G2/M Checkpoints 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-69481", "R-HSA-69481")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-69601", "R-HSA-69601")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-75815", "R-HSA-75815")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8854050", "R-HSA-8854050")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-8939902	Regulation of RUNX2 expression and activity 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8939902", "R-HSA-8939902")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-8948751	Regulation of PTEN stability and activity 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8948751", "R-HSA-8948751")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-8951664	Neddylation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8951664", "R-HSA-8951664")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-9010553	Regulation of expression of SLITs and ROBOs 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-9010553", "R-HSA-9010553")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-983168", "R-HSA-983168")	2	PSA2_HUMAN; PSMA8_HUMAN
R-HSA-3371453	Regulation of HSF1-mediated heat shock response 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3371453", "R-HSA-3371453")	2	BIP_HUMAN; HSP7C_HUMAN
R-HSA-75892	Platelet Adhesion to exposed collagen 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-75892", "R-HSA-75892")	2	VWF_HUMAN; GP1BA_HUMAN
R-HSA-399955	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-399955", "R-HSA-399955")	2	TLN1_HUMAN; NRP1_HUMAN
R-HSA-190840	Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-190840", "R-HSA-190840")	2	TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-190861	Gap junction assembly 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-190861", "R-HSA-190861")	2	TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-380320	Recruitment of NuMA to mitotic centrosomes 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-380320", "R-HSA-380320")	2	TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-389960	Formation of tubulin folding intermediates by CCT/TriC 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-389960", "R-HSA-389960")	2	TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-389977	Post-chaperonin tubulin folding pathway 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-389977", "R-HSA-389977")	2	TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-5610787	Hedgehog 'off' state 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5610787", "R-HSA-5610787")	2	TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-5617833	Cilium Assembly 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5617833", "R-HSA-5617833")	2	TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-5620924	Intraflagellar transport 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5620924", "R-HSA-5620924")	2	TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-6811436	COPI-independent Golgi-to-ER retrograde traffic 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6811436", "R-HSA-6811436")	2	TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-8955332	Carboxyterminal post-translational modifications of tubulin 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8955332", "R-HSA-8955332")	2	TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-9609736	Assembly and cell surface presentation of NMDA receptors 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-9609736", "R-HSA-9609736")	2	TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-9619483	Activation of AMPK downstream of NMDARs 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-9619483", "R-HSA-9619483")	2	TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-983189	Kinesins 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-983189", "R-HSA-983189")	2	TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-445144	Signal transduction by L1 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-445144", "R-HSA-445144")	2	EGFR_HUMAN; NRP1_HUMAN
R-HSA-447041	CHL1 interactions 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-447041", "R-HSA-447041")	2	HSP7C_HUMAN; NRP1_HUMAN
